Date,Energy_res1,Energy_res2,Energy_res3,Energy_res4,Energy_res5,Energy_res6,Energy_res7,Energy_res8,Energy_res9,Energy_res10,Day of Week,AirTemp_C,GlobalSolarRad_W/m2,PrecipitableWater_kg/m2,RelativeHumidity,SnowDepth_LWE_cm,SurfacePressure_hPa,WindDirection10m,WindSpeed10m_m/s,Hour
2015-02-22 12:00:00,0.58,1.94,2.09,0.32,3.1,0.75,0.45,0.71,0.26,0.93,6.0,1.7,0.0,5.5,74.1,0.1,976.3,52.0,2.6,12
2015-02-22 14:00:00,0.43,0.77,3.95,0.52,3.42,4.16,0.53,0.47,0.45,0.74,6.0,0.9,0.0,5.7,70.1,0.1,976.1,51.0,2.0,14
2015-02-22 17:00:00,4.52,1.66,1.43,2.0,2.07,1.84,0.57,1.4,3.18,0.81,6.0,3.9,272.0,5.9,62.8,0.1,976.1,67.0,1.3,17
2015-02-24 17:00:00,3.86,1.74,0.75,0.25,2.55,0.46,1.84,0.45,1.23,0.92,1.0,4.2,169.0,8.6,81.6,0.1,971.8,241.0,1.4,17
2015-02-24 18:00:00,1.16,2.4,0.69,0.25,2.41,2.7,0.72,0.95,1.3,0.83,1.0,4.9,300.0,8.9,79.0,0.1,971.7,243.0,1.6,18
2015-02-24 19:00:00,2.86,2.36,2.24,0.25,2.47,1.97,0.7,1.09,1.5,1.05,1.0,5.7,365.0,9.1,74.4,0.1,971.4,246.0,2.1,19
2015-02-24 20:00:00,0.99,1.33,0.76,0.33,1.94,1.79,2.47,1.04,1.58,0.89,1.0,6.5,505.0,9.3,70.2,0.1,971.2,248.0,2.5,20
2015-02-27 22:00:00,0.95,0.79,,0.87,1.8,0.64,1.21,0.65,3.36,2.52,4.0,8.7,426.0,9.0,51.9,0.1,956.1,44.0,4.0,22
2015-03-02 09:00:00,0.41,1.74,0.35,0.27,3.78,0.72,0.47,0.4,0.26,0.61,0.0,1.0,0.0,8.4,87.2,0.0,961.0,3.0,2.2,9
2015-03-02 10:00:00,2.41,1.88,0.47,0.18,2.45,0.54,0.39,0.43,0.29,0.65,0.0,1.5,0.0,7.8,86.9,0.0,961.1,360.0,2.5,10
2015-03-02 11:00:00,0.8,1.66,0.44,0.19,2.15,0.34,0.4,0.35,0.28,0.67,0.0,2.0,0.0,7.2,86.5,0.0,961.2,357.0,2.8,11
2015-03-03 19:00:00,0.87,3.2,1.46,0.75,3.8,1.76,1.76,0.75,1.53,0.54,1.0,3.7,566.0,3.6,36.9,0.0,969.4,81.0,0.9,19
2015-03-03 20:00:00,1.0,2.8,1.45,0.71,2.13,1.59,1.81,0.78,1.22,0.69,1.0,4.6,588.0,3.6,33.6,0.0,969.2,93.0,0.3,20
2015-03-03 21:00:00,0.64,1.15,1.24,0.77,2.66,1.18,1.49,0.58,1.38,0.72,1.0,5.3,556.0,3.7,32.2,0.0,968.9,266.0,0.2,21
2015-03-03 23:00:00,0.4,0.68,0.99,0.86,2.63,0.27,0.52,0.2,0.2,0.75,1.0,6.1,298.0,4.2,33.0,0.0,968.1,285.0,1.2,23
2015-03-08 15:00:00,0.63,1.14,3.62,0.74,3.52,0.9,0.49,0.76,0.56,0.48,6.0,2.6,83.0,9.4,84.7,0.0,968.6,50.0,1.0,15
2015-03-08 17:00:00,1.44,1.85,1.27,0.48,1.78,0.4,0.82,0.67,1.61,0.58,6.0,7.3,389.0,9.2,73.2,0.0,968.4,51.0,0.7,17
2015-03-09 21:00:00,0.9,1.29,3.03,0.51,3.82,1.13,0.78,0.51,0.59,1.1,0.0,9.1,569.0,11.4,73.3,0.0,964.3,235.0,1.9,21
2015-03-11 17:00:00,2.23,1.84,1.19,0.38,3.3,0.78,0.21,0.28,0.5,1.49,2.0,6.7,200.0,16.1,93.2,0.0,958.5,124.0,3.7,17
2015-03-11 18:00:00,0.96,1.87,3.27,1.09,3.94,2.59,0.31,0.63,1.26,1.47,2.0,6.9,176.0,16.0,93.3,0.0,958.7,125.0,3.7,18
2015-03-11 21:00:00,1.07,1.37,1.31,1.18,3.78,0.81,0.99,0.24,0.49,2.26,2.0,7.9,58.0,16.8,91.5,0.0,958.8,130.0,4.0,21
2015-03-12 18:00:00,0.52,0.99,1.36,0.53,2.65,1.69,0.24,0.33,0.81,1.35,3.0,8.2,367.0,15.9,97.1,0.0,972.1,173.0,3.9,18
2015-03-14 13:00:00,0.27,0.7,3.39,0.25,3.15,0.69,0.3,0.68,0.19,0.51,5.0,8.2,0.0,21.6,95.2,0.0,951.3,146.0,4.7,13
2015-03-14 15:00:00,0.51,0.8,0.58,0.36,3.93,0.55,0.41,0.41,3.26,0.51,5.0,7.9,27.0,21.3,97.8,0.0,950.3,158.0,4.8,15
2015-03-14 16:00:00,0.91,0.82,1.03,0.43,2.06,0.68,1.06,0.61,2.21,0.55,5.0,8.2,73.0,20.3,97.9,0.0,950.9,175.0,4.8,16
2015-03-15 12:00:00,0.35,1.41,1.06,0.37,1.7,0.61,0.47,0.99,2.29,0.64,6.0,5.0,0.0,12.5,97.2,0.0,957.3,61.0,1.5,12
2015-03-15 13:00:00,0.33,2.32,1.25,0.31,3.72,2.01,0.34,0.64,1.21,0.69,6.0,5.0,0.0,12.8,96.1,0.0,957.1,57.0,1.6,13
2015-03-15 16:00:00,3.44,2.05,1.67,0.73,1.62,0.88,1.86,0.4,1.29,0.61,6.0,5.2,76.0,13.6,92.6,0.0,956.3,55.0,2.4,16
2015-03-21 10:00:00,0.48,1.69,0.81,0.46,1.64,0.34,0.38,0.49,2.58,3.02,5.0,7.4,0.0,14.0,97.7,0.0,955.8,193.0,3.6,10
2015-03-21 11:00:00,0.35,1.86,0.87,0.21,2.89,0.28,0.43,0.75,3.47,2.34,5.0,7.6,0.0,14.3,97.0,0.0,955.6,191.0,3.1,11
2015-03-21 12:00:00,0.91,1.4,1.51,0.27,2.63,0.27,0.56,0.72,1.56,3.34,5.0,7.6,0.0,14.2,96.9,0.0,955.7,195.0,2.9,12
2015-03-21 15:00:00,1.08,0.97,0.92,0.46,2.86,0.26,0.28,0.43,0.79,4.28,5.0,6.8,73.0,12.9,97.6,0.0,957.5,217.0,3.6,15
2015-03-21 16:00:00,2.3,0.8,0.82,0.21,2.07,0.28,0.25,0.56,2.84,2.41,5.0,6.6,187.0,12.5,96.9,0.0,958.3,219.0,3.7,16
2015-03-21 17:00:00,1.46,1.37,0.68,0.44,3.12,0.26,0.21,0.59,0.61,1.19,5.0,6.5,234.0,12.0,96.3,0.0,959.1,221.0,3.8,17
2015-03-22 08:00:00,1.62,3.49,0.69,0.21,1.72,0.31,0.26,0.42,0.65,1.65,6.0,5.5,0.0,9.7,95.5,0.0,964.1,112.0,2.0,8
2015-03-22 17:00:00,3.58,1.54,1.46,0.31,1.64,0.31,2.18,1.42,3.49,2.36,6.0,5.6,256.0,9.2,89.2,0.0,961.1,84.0,3.5,17
2015-03-25 18:00:00,,2.24,2.01,0.51,1.72,2.26,,0.99,2.97,1.8,2.0,5.8,155.0,21.2,96.0,0.0,966.3,115.0,4.1,18
2015-03-27 08:00:00,1.17,1.69,0.67,0.42,1.58,0.33,0.45,0.77,0.45,1.89,4.0,6.7,0.0,17.1,95.2,0.0,965.9,42.0,1.5,8
2015-03-27 15:00:00,0.32,0.71,0.5,0.31,2.1,0.52,0.22,0.36,0.18,1.16,4.0,7.6,130.0,17.8,94.9,0.0,961.8,88.0,1.7,15
2015-03-27 16:00:00,0.68,0.67,1.47,0.29,4.28,0.61,0.35,0.34,0.21,1.25,4.0,9.2,268.0,18.0,89.6,0.0,961.6,122.0,1.5,16
2015-03-27 17:00:00,1.43,1.06,0.96,0.29,1.92,0.32,0.21,0.43,0.2,0.88,4.0,10.7,358.0,18.2,84.7,0.0,961.3,152.0,1.9,17
2015-03-27 18:00:00,1.04,1.4,1.26,0.29,1.71,0.38,0.21,0.31,0.98,1.67,4.0,11.6,458.0,18.4,81.2,0.0,961.0,171.0,2.4,18
2015-03-28 15:00:00,0.57,0.56,0.44,0.39,2.34,0.81,0.28,0.57,2.18,2.19,5.0,6.9,138.0,10.3,96.6,0.0,965.1,243.0,4.6,15
2015-03-29 12:00:00,0.64,3.24,2.12,0.36,4.02,0.52,1.69,0.68,1.5,7.74,6.0,7.3,0.0,18.4,91.9,0.0,966.6,152.0,4.7,12
2015-03-29 13:00:00,0.6,3.36,2.69,0.83,2.36,0.87,1.25,0.59,1.16,5.17,6.0,7.1,0.0,18.4,93.9,0.0,966.4,153.0,4.8,13
2015-03-29 14:00:00,0.69,3.95,1.16,0.86,3.6,1.61,,0.65,0.42,1.89,6.0,6.9,17.0,18.3,96.0,0.0,966.2,155.0,4.9,14
