Date,Energy_res1,Energy_res2,Energy_res3,Energy_res4,Energy_res5,Energy_res6,Energy_res7,Energy_res8,Energy_res9,Energy_res10,Day of Week,AirTemp_C,GlobalSolarRad_W/m2,PrecipitableWater_kg/m2,RelativeHumidity,SnowDepth_LWE_cm,SurfacePressure_hPa,WindDirection10m,WindSpeed10m_m/s,Hour
2015-04-12 17:00:00,3.5,1.75,7.29,0.23,1.42,0.66,0.78,1.15,1.35,0.89,6.0,4.0,375.0,10.1,91.7,0.0,966.5,200.0,2.3,17
2015-05-24 11:00:00,1.85,0.67,5.66,0.87,0.85,0.26,0.35,0.88,0.7,1.59,6.0,10.7,0.0,15.0,92.3,0.0,965.4,212.0,1.2,11
2015-09-21 07:00:00,1.27,0.85,5.59,0.29,0.72,0.68,1.4,0.87,1.36,2.79,0.0,10.0,0.0,9.1,92.5,0.0,960.2,277.0,2.1,7
2015-11-01 17:00:00,3.49,1.92,6.32,0.71,1.32,2.91,2.64,1.0,2.77,4.45,6.0,6.2,69.0,12.3,94.4,0.0,949.7,151.0,3.7,17
2015-11-03 07:00:00,1.19,2.38,6.45,0.48,0.91,1.03,0.71,0.76,0.94,1.88,1.0,3.8,0.0,9.4,97.6,0.0,959.9,310.0,1.1,7
2015-11-04 22:00:00,0.5,1.59,6.22,0.78,0.8,0.55,0.79,0.2,0.63,1.52,2.0,4.8,82.0,11.8,86.8,0.0,965.4,226.0,1.7,22
2015-11-11 20:00:00,1.3,1.04,6.2,0.65,0.93,1.29,0.43,0.78,1.44,1.64,7.0,4.1,362.0,7.1,89.4,0.0,968.4,261.0,3.6,20
2015-11-12 20:00:00,1.01,1.7,5.87,0.7,1.24,1.45,1.89,0.35,2.59,0.85,3.0,4.1,78.0,17.2,96.2,0.1,960.0,147.0,8.5,20
2015-12-02 20:00:00,0.93,1.94,5.94,0.68,0.96,0.84,1.3,0.31,3.91,2.73,2.0,4.4,74.0,11.3,87.9,0.8,961.6,101.0,4.0,20
2015-12-20 18:00:00,0.72,1.58,5.99,0.62,1.35,2.41,2.2,1.5,2.73,2.38,6.0,2.4,137.0,7.8,95.2,3.2,947.6,226.0,2.9,18
2016-01-03 17:00:00,2.06,2.67,6.65,0.52,1.53,1.49,0.3,1.06,3.18,2.33,6.0,-4.0,113.0,3.9,69.8,4.3,961.6,67.0,3.7,17
2016-01-05 21:00:00,1.51,1.6,6.19,0.31,0.72,1.38,1.27,0.98,1.04,1.86,1.0,0.9,42.0,14.6,87.5,4.7,946.9,76.0,3.8,21
2016-02-02 19:00:00,1.13,2.22,5.86,0.49,1.01,2.84,1.69,0.68,1.84,3.88,1.0,1.4,267.0,7.5,78.0,6.2,966.9,99.0,2.2,19
2016-02-09 19:00:00,0.84,1.9,8.12,0.3,1.13,1.09,0.99,0.81,1.1,1.46,1.0,7.5,403.0,9.9,67.0,5.9,967.4,83.0,3.4,19
2016-03-07 19:00:00,1.19,1.9,6.11,0.6,3.41,1.26,0.75,0.9,2.01,3.03,0.0,3.2,273.0,11.3,95.4,2.2,953.3,215.0,2.4,19
2016-05-28 09:00:00,0.52,1.55,5.47,0.4,0.93,1.02,0.43,0.99,0.93,1.93,5.0,7.0,0.0,16.0,94.6,0.0,963.0,187.0,1.9,9
2016-08-31 11:00:00,1.43,0.25,5.59,0.32,0.51,0.38,0.65,0.33,0.52,1.08,2.0,13.6,0.0,26.4,80.5,0.0,960.3,120.0,1.9,11
2016-09-13 21:00:00,0.68,1.57,5.68,0.86,0.81,0.58,0.65,0.46,1.24,3.05,1.0,20.6,647.0,14.2,34.2,0.0,963.5,296.0,0.5,21
2016-10-07 20:00:00,1.23,1.78,5.77,0.6,0.77,0.71,1.21,0.42,0.94,1.94,4.0,9.5,326.0,12.9,90.7,0.0,960.5,227.0,4.4,20
2017-11-29 17:00:00,1.41,2.32,6.37,0.58,0.86,1.22,1.22,0.38,0.91,2.79,2.0,3.1,75.0,12.8,96.0,0.8,972.0,162.0,3.0,17
2017-12-03 17:00:00,1.56,2.81,6.11,1.96,3.13,1.95,0.89,0.32,4.62,2.72,6.0,-0.8,124.0,5.7,66.1,1.8,963.4,27.0,1.0,17
2018-01-01 18:00:00,0.71,2.68,5.73,0.53,,1.13,2.55,1.02,2.71,5.16,7.0,-2.9,179.0,11.2,67.0,8.0,973.5,56.0,3.0,18
2018-01-18 21:00:00,0.65,1.74,6.51,0.66,0.73,0.66,1.79,0.49,2.17,1.63,3.0,3.6,198.0,10.2,94.6,5.0,950.6,160.0,5.4,21
