Date,Energy_res6,Day of Week,AirTemp_C,Hour,Cluster
2015-02-21 00:00:00,0.31,5.0,7.1,0,0
2015-02-21 01:00:00,0.24,5.0,6.1,1,0
2015-02-21 02:00:00,0.24,5.0,5.1,2,3
2015-02-21 03:00:00,0.26,5.0,4.5,3,3
2015-02-21 04:00:00,0.24,5.0,4.3,4,3
2015-02-21 05:00:00,0.24,5.0,4.1,5,3
2015-02-21 06:00:00,0.25,5.0,3.6,6,3
2015-02-21 07:00:00,0.65,5.0,2.8,7,7
2015-02-21 08:00:00,0.66,5.0,2.0,8,7
2015-02-21 09:00:00,0.68,5.0,1.6,9,7
2015-02-21 10:00:00,0.74,5.0,1.5,10,7
2015-02-21 11:00:00,0.55,5.0,1.4,11,7
2015-02-21 12:00:00,0.35,5.0,1.3,12,4
2015-02-21 13:00:00,0.39,5.0,1.1,13,4
2015-02-21 14:00:00,1.26,5.0,0.9,14,4
2015-02-21 15:00:00,1.3,5.0,1.4,15,4
2015-02-21 16:00:00,0.58,5.0,2.7,16,1
2015-02-21 17:00:00,2.6,5.0,3.9,17,1
2015-02-21 18:00:00,2.05,5.0,5.2,18,1
2015-02-21 19:00:00,1.3,5.0,6.3,19,1
2015-02-21 20:00:00,1.34,5.0,7.4,20,1
2015-02-21 21:00:00,1.72,5.0,8.2,21,5
2015-02-21 22:00:00,1.52,5.0,8.5,22,5
2015-02-21 23:00:00,1.2,5.0,8.8,23,5
2015-02-22 00:00:00,0.32,6.0,8.4,0,0
2015-02-22 01:00:00,0.25,6.0,7.2,1,0
2015-02-22 02:00:00,0.25,6.0,6.0,2,0
2015-02-22 03:00:00,0.26,6.0,4.9,3,3
2015-02-22 04:00:00,0.24,6.0,4.0,4,3
2015-02-22 05:00:00,0.25,6.0,3.0,5,3
2015-02-22 06:00:00,0.25,6.0,2.3,6,3
2015-02-22 07:00:00,0.46,6.0,1.9,7,3
2015-02-22 08:00:00,0.71,6.0,1.4,8,7
2015-02-22 09:00:00,0.74,6.0,1.3,9,7
2015-02-22 10:00:00,0.47,6.0,1.6,10,7
2015-02-22 11:00:00,0.73,6.0,1.8,11,7
2015-02-22 12:00:00,0.75,6.0,1.7,12,7
2015-02-22 13:00:00,0.75,6.0,1.3,13,4
2015-02-22 14:00:00,4.16,6.0,0.9,14,4
2015-02-22 15:00:00,0.93,6.0,1.4,15,4
2015-02-22 16:00:00,0.92,6.0,2.7,16,1
2015-02-22 17:00:00,1.84,6.0,3.9,17,1
2015-02-22 18:00:00,1.87,6.0,5.1,18,1
2015-02-22 19:00:00,1.13,6.0,6.3,19,1
2015-02-22 20:00:00,0.9,6.0,7.4,20,1
2015-02-22 21:00:00,0.9,6.0,8.1,21,5
2015-02-22 22:00:00,0.66,6.0,8.2,22,5
2015-02-22 23:00:00,0.29,6.0,8.3,23,5
2015-02-23 00:00:00,0.26,0.0,8.0,0,0
2015-02-23 01:00:00,0.25,0.0,7.5,1,0
2015-02-23 02:00:00,0.27,0.0,7.0,2,0
2015-02-23 03:00:00,0.25,0.0,6.2,3,0
2015-02-23 04:00:00,0.39,0.0,5.3,4,3
