Date,Energy_res5,GlobalSolarRad_W/m2,RelativeHumidity,WindSpeed10m_m/s,Cluster2
2015-02-21 00:00:00,0.57,116.0,83.7,2.0,0
2015-02-21 01:00:00,0.52,15.0,87.4,1.9,0
2015-02-21 02:00:00,0.57,0.0,91.4,1.7,0
2015-02-21 03:00:00,0.59,0.0,94.1,1.4,0
2015-02-21 04:00:00,0.54,0.0,95.3,1.0,0
2015-02-21 05:00:00,0.58,0.0,96.5,0.6,0
2015-02-21 06:00:00,0.58,0.0,96.7,0.5,0
2015-02-21 07:00:00,0.63,0.0,95.8,0.8,0
2015-02-21 08:00:00,0.7,0.0,94.9,1.2,0
2015-02-21 09:00:00,0.9,0.0,93.6,1.5,0
2015-02-21 10:00:00,0.79,0.0,91.7,1.9,0
2015-02-21 11:00:00,0.61,0.0,89.9,2.3,0
2015-02-21 12:00:00,0.63,0.0,89.0,2.5,0
2015-02-21 13:00:00,0.54,0.0,88.9,2.4,0
2015-02-21 14:00:00,0.55,0.0,88.8,2.3,0
2015-02-21 15:00:00,0.61,30.0,87.9,2.4,0
2015-02-21 16:00:00,0.62,155.0,86.0,2.6,0
2015-02-21 17:00:00,0.8,299.0,84.2,2.9,2
2015-02-21 18:00:00,0.88,416.0,78.3,2.9,2
2015-02-21 19:00:00,0.94,491.0,69.1,2.8,1
2015-02-21 20:00:00,0.93,514.0,61.1,2.7,1
2015-02-21 21:00:00,0.9,485.0,55.8,2.6,2
2015-02-21 22:00:00,0.86,405.0,52.6,2.6,2
2015-02-21 23:00:00,0.76,283.0,49.7,2.5,2
2015-02-22 00:00:00,0.44,138.0,49.6,2.5,0
2015-02-22 01:00:00,0.23,18.0,52.3,2.5,0
2015-02-22 02:00:00,0.35,0.0,55.3,2.4,0
2015-02-22 03:00:00,0.22,0.0,58.4,2.4,0
2015-02-22 04:00:00,0.25,0.0,61.8,2.4,0
2015-02-22 05:00:00,0.23,0.0,65.3,2.4,0
2015-02-22 06:00:00,0.19,0.0,68.1,2.4,0
2015-02-22 07:00:00,0.91,0.0,70.0,2.4,0
2015-02-22 08:00:00,0.99,0.0,71.9,2.3,0
2015-02-22 09:00:00,0.97,0.0,73.3,2.4,0
2015-02-22 10:00:00,0.6,0.0,74.0,2.6,0
2015-02-22 11:00:00,0.28,0.0,74.7,2.7,0
2015-02-22 12:00:00,3.1,0.0,74.1,2.6,0
2015-02-22 13:00:00,1.37,0.0,72.1,2.3,0
2015-02-22 14:00:00,3.42,0.0,70.1,2.0,0
2015-02-22 15:00:00,1.15,29.0,67.9,1.8,0
2015-02-22 16:00:00,0.55,136.0,65.3,1.5,0
2015-02-22 17:00:00,2.07,272.0,62.8,1.3,2
2015-02-22 18:00:00,1.22,414.0,58.2,1.0,2
2015-02-22 19:00:00,0.9,339.0,51.8,0.4,2
2015-02-22 20:00:00,0.63,337.0,46.2,0.4,2
2015-02-22 21:00:00,0.73,360.0,44.3,0.6,2
2015-02-22 22:00:00,0.72,287.0,45.7,0.6,2
2015-02-22 23:00:00,0.51,160.0,47.2,0.6,2
2015-02-23 00:00:00,0.18,63.0,49.6,0.7,0
2015-02-23 01:00:00,0.2,19.0,53.3,0.6,0
