date only,blabla,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-02-21,0,0.31,0.24,0.24,0.26,0.24,0.24,0.25,0.65,0.66,0.68,0.74,0.55,0.35,0.39,1.26,1.3,0.58,2.6,2.05,1.3,1.34,1.72,1.52,1.2
2015-02-22,0,0.32,0.25,0.25,0.26,0.24,0.25,0.25,0.46,0.71,0.74,0.47,0.73,0.75,0.75,4.16,0.93,0.92,1.84,1.87,1.13,0.9,0.9,0.66,0.29
2015-02-23,0,0.26,0.25,0.27,0.25,0.39,0.3,0.35,1.35,2.05,2.43,0.64,0.44,0.35,1.17,0.69,0.5,0.39,2.34,1.9,1.72,1.16,1.3,0.58,0.27
2015-02-24,1,0.27,0.28,0.25,0.25,0.27,0.25,0.35,1.03,1.12,1.62,3.21,1.01,1.56,0.82,0.61,0.33,0.26,0.46,2.7,1.97,1.79,1.03,0.7,0.56
2015-02-25,0,0.53,0.41,0.31,0.27,0.27,0.28,0.28,1.29,0.93,0.35,0.32,0.31,0.57,0.54,0.29,0.32,0.52,2.01,3.14,1.79,1.73,0.92,0.73,0.63
2015-02-26,1,0.75,0.27,0.44,0.29,0.25,0.27,0.25,0.8,1.21,0.75,0.72,0.96,3.03,0.29,0.45,0.43,1.98,1.0,1.21,1.34,1.39,1.21,0.4,0.27
2015-02-27,0,0.25,0.26,0.25,0.25,0.28,0.25,0.5,1.11,0.43,0.42,0.7,0.73,0.69,0.65,1.04,1.12,0.48,0.52,1.34,0.84,0.82,0.98,0.64,0.34
2015-02-28,0,0.28,0.26,0.24,0.26,0.25,0.24,0.27,0.65,0.71,0.82,0.76,0.87,0.94,0.68,0.95,0.69,0.56,0.58,0.6,0.8,1.18,0.94,1.06,0.42
2015-03-01,1,0.26,0.25,0.26,0.24,0.25,0.25,0.23,0.72,0.87,0.86,0.85,1.62,1.02,3.03,2.92,0.85,0.64,3.17,1.45,1.36,0.93,0.82,0.57,0.27
2015-03-02,0,0.25,0.27,0.25,0.38,0.32,0.27,0.24,0.95,0.7,0.72,0.54,0.34,1.4,2.37,0.39,0.37,0.33,2.6,3.07,1.5,1.78,1.49,0.7,0.26
2015-03-03,0,0.27,0.26,0.25,0.26,0.25,0.25,0.45,0.99,0.65,0.56,0.69,0.82,1.39,0.38,0.5,0.34,0.27,0.4,1.1,1.76,1.59,1.18,0.39,0.27
2015-03-04,0,0.25,0.25,0.26,0.24,0.26,0.24,0.54,1.39,1.48,1.35,0.55,0.39,0.43,0.51,0.32,0.44,0.55,0.56,1.44,1.45,1.03,1.0,0.38,0.26
2015-03-05,1,0.26,0.26,0.24,0.26,0.25,0.24,0.42,0.94,1.05,0.92,1.42,2.67,0.35,0.25,0.43,0.27,0.7,0.57,1.28,1.37,1.63,2.04,1.47,0.3
2015-03-06,0,0.27,0.26,0.24,0.25,0.25,0.24,0.51,1.15,0.56,0.65,0.67,0.59,0.46,0.4,0.59,0.64,0.55,0.74,2.93,1.12,0.99,0.98,0.76,0.31
2015-03-07,1,0.27,0.25,0.26,0.26,0.24,0.65,0.33,0.6,0.79,1.37,2.76,2.64,0.29,0.39,1.74,2.55,1.81,0.68,0.87,0.93,1.06,0.94,0.4,0.26
2015-03-09,0,0.26,0.25,0.26,0.43,0.26,0.25,0.29,1.19,0.6,0.4,0.53,0.32,0.31,0.29,0.28,0.31,0.46,0.4,2.16,1.5,1.31,1.13,1.58,0.82
2015-03-10,1,0.27,0.27,0.25,0.25,0.25,0.26,0.26,1.24,0.94,0.88,3.6,1.31,0.8,0.6,0.32,0.27,0.31,0.32,0.94,0.94,1.04,0.99,0.96,0.35
2015-03-11,0,0.27,0.27,0.25,0.25,0.26,0.24,0.71,1.25,1.04,0.7,0.26,0.28,0.27,0.22,0.27,0.27,0.64,0.78,2.59,1.37,1.04,0.81,0.79,0.57
2015-03-12,0,0.29,0.26,0.26,0.26,0.24,0.25,0.27,1.15,1.03,0.74,2.94,0.58,0.41,0.24,0.25,0.28,0.25,0.26,1.69,1.64,1.62,1.33,0.73,0.59
2015-03-13,0,0.26,0.26,0.26,0.25,0.24,0.25,0.27,1.04,0.33,0.46,0.48,0.58,0.63,0.55,0.64,0.69,0.77,2.08,2.18,1.38,1.51,1.54,0.87,0.84
2015-03-14,0,0.4,0.27,0.26,0.26,0.26,0.24,0.25,0.37,0.35,0.65,1.01,0.82,0.76,0.69,0.51,0.55,0.68,0.46,2.84,1.56,1.13,1.34,1.73,0.38
2015-03-15,1,0.28,0.26,0.25,0.26,0.27,0.26,0.28,0.59,0.93,0.85,0.83,0.72,0.61,2.01,3.43,2.17,0.88,1.26,1.46,1.63,1.34,0.84,0.44,0.3
2015-03-16,0,0.25,0.25,0.27,0.25,0.24,0.38,0.5,0.7,0.83,0.67,0.44,0.44,0.26,0.37,0.44,0.7,1.28,0.54,1.42,1.33,3.02,4.13,0.59,0.31
2015-03-17,0,0.28,0.27,0.27,0.27,0.26,0.27,0.28,0.37,1.75,1.06,0.48,0.61,0.36,0.62,0.37,0.25,0.29,0.38,0.59,1.17,1.62,1.21,1.21,0.92
2015-03-18,0,0.28,0.42,0.32,0.28,0.28,0.27,0.56,0.99,0.49,0.39,0.36,0.3,0.24,0.39,0.37,0.66,0.53,1.04,2.72,1.56,1.54,1.3,1.0,0.35
2015-03-19,1,0.3,0.29,0.27,0.27,0.28,0.26,0.29,0.94,0.97,2.4,4.58,2.8,0.35,1.56,3.75,0.89,0.33,0.64,0.72,2.97,1.41,1.21,1.02,0.31
2015-03-20,0,0.29,0.28,0.25,0.28,0.25,0.25,0.38,0.97,1.02,0.95,0.46,0.3,0.29,0.32,0.26,0.32,0.33,0.3,0.31,0.31,0.3,0.36,0.32,0.3
2015-03-21,0,0.33,0.3,0.32,0.34,0.3,0.33,0.34,0.31,0.32,0.3,0.34,0.28,0.27,0.33,0.27,0.26,0.28,0.26,0.28,0.28,0.26,0.29,0.34,0.31
2015-03-22,0,0.36,0.31,0.35,0.32,0.34,0.34,0.52,0.35,0.31,0.34,0.31,0.29,0.3,0.29,0.27,0.32,0.31,0.31,0.35,0.3,0.39,2.0,0.79,0.29
2015-03-23,0,0.28,0.26,0.25,0.28,0.25,0.26,0.27,0.73,0.87,0.77,0.63,0.43,0.37,0.52,0.58,0.64,0.52,2.17,1.96,1.06,1.23,1.24,0.82,0.46
2015-03-24,1,0.28,0.26,0.26,0.27,0.25,0.27,0.37,0.76,0.98,1.71,3.35,1.25,2.59,0.85,2.68,0.25,0.22,0.42,0.4,1.03,0.89,0.92,1.36,0.27
2015-03-25,0,0.26,0.26,0.26,0.24,0.26,0.26,0.49,0.85,0.75,0.8,0.31,0.22,0.68,0.51,0.62,0.72,0.74,0.8,2.26,1.31,1.05,0.8,0.54,0.25
2015-03-26,1,0.25,0.23,0.24,0.24,0.22,0.23,0.27,0.68,0.75,1.25,1.08,1.05,2.56,0.95,0.61,0.22,0.24,0.33,0.34,1.96,1.59,0.78,0.74,0.41
2015-03-27,0,0.26,0.25,0.27,0.25,0.26,0.29,0.42,0.78,0.33,0.47,0.46,0.46,0.46,0.48,0.6,0.52,0.61,0.32,0.38,1.05,0.94,2.23,0.55,0.36
2015-03-28,1,0.27,0.26,0.25,0.28,0.26,0.25,0.27,0.43,0.52,0.85,1.15,1.14,1.09,0.83,0.76,0.81,1.01,2.7,0.97,1.12,1.1,1.06,0.85,0.56
2015-03-29,0,0.27,0.23,0.24,0.22,0.22,0.24,0.22,0.34,0.36,0.69,0.61,0.44,0.52,0.87,1.61,0.8,3.99,0.76,0.89,0.95,1.02,1.01,0.54,0.28
2015-03-30,0,0.27,0.26,0.27,0.27,0.25,0.27,0.27,1.2,0.49,0.68,0.37,0.47,0.47,0.52,0.27,0.35,0.36,1.4,2.09,2.1,1.17,1.5,1.17,0.43
2015-03-31,1,0.28,0.28,0.27,0.27,0.25,0.26,0.28,0.75,0.59,0.6,3.14,0.54,0.49,0.47,0.44,0.38,0.32,0.36,0.92,1.04,1.25,1.49,0.81,0.28
