Date,Energy_res1,Day of Week,AirTemp_C,GlobalSolarRad_W/m2,Hour,Energy-1
2015-02-21 01:00:00,0.62,5.0,6.1,15.0,1,0.75
2015-02-21 02:00:00,0.46,5.0,5.1,0.0,2,0.62
2015-02-21 03:00:00,0.4,5.0,4.5,0.0,3,0.46
2015-02-21 04:00:00,0.44,5.0,4.3,0.0,4,0.4
2015-02-21 05:00:00,0.46,5.0,4.1,0.0,5,0.44
2015-02-21 06:00:00,0.42,5.0,3.6,0.0,6,0.46
2015-02-21 07:00:00,0.67,5.0,2.8,0.0,7,0.42
2015-02-21 08:00:00,1.37,5.0,2.0,0.0,8,0.67
2015-02-21 09:00:00,0.59,5.0,1.6,0.0,9,1.37
2015-02-21 10:00:00,1.75,5.0,1.5,0.0,10,0.59
2015-02-21 11:00:00,0.96,5.0,1.4,0.0,11,1.75
2015-02-21 12:00:00,0.58,5.0,1.3,0.0,12,0.96
2015-02-21 13:00:00,0.46,5.0,1.1,0.0,13,0.58
2015-02-21 14:00:00,0.47,5.0,0.9,0.0,14,0.46
2015-02-21 15:00:00,0.52,5.0,1.4,30.0,15,0.47
2015-02-21 16:00:00,2.04,5.0,2.7,155.0,16,0.52
2015-02-21 17:00:00,1.92,5.0,3.9,299.0,17,2.04
2015-02-21 18:00:00,1.29,5.0,5.2,416.0,18,1.92
2015-02-21 19:00:00,3.34,5.0,6.3,491.0,19,1.29
2015-02-21 20:00:00,0.74,5.0,7.4,514.0,20,3.34
2015-02-21 21:00:00,0.6,5.0,8.2,485.0,21,0.74
2015-02-21 22:00:00,0.58,5.0,8.5,405.0,22,0.6
2015-02-21 23:00:00,0.52,5.0,8.8,283.0,23,0.58
2015-02-22 00:00:00,0.5,6.0,8.4,138.0,0,0.52
2015-02-22 01:00:00,0.58,6.0,7.2,18.0,1,0.5
2015-02-22 02:00:00,0.6,6.0,6.0,0.0,2,0.58
2015-02-22 03:00:00,0.61,6.0,4.9,0.0,3,0.6
2015-02-22 04:00:00,0.59,6.0,4.0,0.0,4,0.61
2015-02-22 05:00:00,0.76,6.0,3.0,0.0,5,0.59
2015-02-22 06:00:00,0.71,6.0,2.3,0.0,6,0.76
2015-02-22 07:00:00,0.84,6.0,1.9,0.0,7,0.71
2015-02-22 08:00:00,1.43,6.0,1.4,0.0,8,0.84
2015-02-22 09:00:00,0.69,6.0,1.3,0.0,9,1.43
2015-02-22 10:00:00,0.75,6.0,1.6,0.0,10,0.69
2015-02-22 11:00:00,1.16,6.0,1.8,0.0,11,0.75
2015-02-22 12:00:00,0.58,6.0,1.7,0.0,12,1.16
2015-02-22 13:00:00,0.35,6.0,1.3,0.0,13,0.58
2015-02-22 14:00:00,0.43,6.0,0.9,0.0,14,0.35
2015-02-22 15:00:00,2.15,6.0,1.4,29.0,15,0.43
2015-02-22 16:00:00,2.46,6.0,2.7,136.0,16,2.15
2015-02-22 17:00:00,4.52,6.0,3.9,272.0,17,2.46
2015-02-22 18:00:00,2.14,6.0,5.1,414.0,18,4.52
2015-02-22 19:00:00,1.87,6.0,6.3,339.0,19,2.14
2015-02-22 20:00:00,0.88,6.0,7.4,337.0,20,1.87
2015-02-22 21:00:00,0.61,6.0,8.1,360.0,21,0.88
2015-02-22 22:00:00,0.61,6.0,8.2,287.0,22,0.61
2015-02-22 23:00:00,0.39,6.0,8.3,160.0,23,0.61
2015-02-23 00:00:00,0.58,0.0,8.0,63.0,0,0.39
2015-02-23 01:00:00,0.43,0.0,7.5,19.0,1,0.58
2015-02-23 02:00:00,0.31,0.0,7.0,0.0,2,0.43
2015-02-23 03:00:00,0.56,0.0,6.2,0.0,3,0.31
2015-02-23 04:00:00,0.78,0.0,5.3,0.0,4,0.56
2015-02-23 05:00:00,0.64,0.0,4.4,0.0,5,0.78
2015-02-23 06:00:00,0.81,0.0,3.6,0.0,6,0.64
2015-02-23 07:00:00,0.67,0.0,2.8,0.0,7,0.81
2015-02-23 08:00:00,1.38,0.0,2.1,0.0,8,0.67
2015-02-23 09:00:00,0.66,0.0,1.8,0.0,9,1.38
2015-02-23 10:00:00,2.5,0.0,2.0,0.0,10,0.66
2015-02-23 11:00:00,0.6,0.0,2.1,0.0,11,2.5
2015-02-23 12:00:00,0.42,0.0,2.0,0.0,12,0.6
2015-02-23 13:00:00,0.39,0.0,1.7,0.0,13,0.42
2015-02-23 14:00:00,0.4,0.0,1.3,0.0,14,0.39
2015-02-23 15:00:00,0.39,0.0,1.9,33.0,15,0.4
2015-02-23 16:00:00,1.7,0.0,3.5,158.0,16,0.39
2015-02-23 17:00:00,1.6,0.0,5.0,297.0,17,1.7
2015-02-23 18:00:00,0.76,0.0,6.5,411.0,18,1.6
2015-02-23 19:00:00,0.85,0.0,7.8,484.0,19,0.76
2015-02-23 20:00:00,0.71,0.0,9.0,506.0,20,0.85
2015-02-23 21:00:00,0.53,0.0,9.6,477.0,21,0.71
2015-02-23 22:00:00,0.56,0.0,9.5,399.0,22,0.53
2015-02-23 23:00:00,0.35,0.0,9.4,281.0,23,0.56
2015-02-24 00:00:00,0.33,1.0,8.9,138.0,0,0.35
2015-02-24 01:00:00,0.41,1.0,7.8,20.0,1,0.33
2015-02-24 02:00:00,0.45,1.0,6.8,0.0,2,0.41
2015-02-24 03:00:00,0.47,1.0,6.1,0.0,3,0.45
2015-02-24 04:00:00,0.46,1.0,5.7,0.0,4,0.47
2015-02-24 05:00:00,0.4,1.0,5.4,0.0,5,0.46
2015-02-24 06:00:00,0.75,1.0,5.0,0.0,6,0.4
2015-02-24 07:00:00,0.44,1.0,4.7,0.0,7,0.75
2015-02-24 08:00:00,1.38,1.0,4.3,0.0,8,0.44
2015-02-24 09:00:00,0.55,1.0,4.2,0.0,9,1.38
2015-02-24 10:00:00,2.51,1.0,4.5,0.0,10,0.55
2015-02-24 11:00:00,1.23,1.0,4.8,0.0,11,2.51
2015-02-24 12:00:00,0.62,1.0,4.6,0.0,12,1.23
2015-02-24 13:00:00,0.46,1.0,3.9,0.0,13,0.62
2015-02-24 14:00:00,0.53,1.0,3.3,0.0,14,0.46
2015-02-24 15:00:00,0.42,1.0,3.2,27.0,15,0.53
2015-02-24 16:00:00,2.31,1.0,3.7,117.0,16,0.42
2015-02-24 17:00:00,3.86,1.0,4.2,169.0,17,2.31
2015-02-24 18:00:00,1.16,1.0,4.9,300.0,18,3.86
2015-02-24 19:00:00,2.86,1.0,5.7,365.0,19,1.16
2015-02-24 20:00:00,0.99,1.0,6.5,505.0,20,2.86
2015-02-24 21:00:00,0.8,1.0,7.0,482.0,21,0.99
2015-02-24 22:00:00,0.57,1.0,7.3,401.0,22,0.8
2015-02-24 23:00:00,0.34,1.0,7.5,288.0,23,0.57
2015-02-25 00:00:00,0.39,2.0,7.0,144.0,0,0.34
2015-02-25 01:00:00,0.46,2.0,5.7,23.0,1,0.39
2015-02-25 02:00:00,0.39,2.0,4.5,0.0,2,0.46
2015-02-25 03:00:00,0.4,2.0,3.8,0.0,3,0.39
2015-02-25 04:00:00,0.41,2.0,3.9,0.0,4,0.4
2015-02-25 05:00:00,0.52,2.0,3.9,0.0,5,0.41
2015-02-25 06:00:00,0.69,2.0,3.8,0.0,6,0.52
2015-02-25 07:00:00,0.78,2.0,3.5,0.0,7,0.69
